Net Income (in millions),Close NASDQ,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0.277413752,0.040603611,0.326949861,0.483053183,0.231289641,0.509383378,0.023604379,0.015761714,0.198528462,0.013758611,0.511521391,0.288888889,0.173635603,0,0.085441365,0.177374175,0.01421368,0.506623503,0.516573987,0.532944574,0.212199655,0.209526681
0.277413752,0.038240112,0.337743733,0.508404519,0.214799154,0.498659517,0.023912439,0.015932716,0.199005201,0.014255279,0.510590227,0.288888889,0.174058012,0,0.084673944,0.175295925,0.014608504,0.508520356,0.518589172,0.535180544,0.205429444,0.212390714
0.277413752,0.039162201,0.335654596,0.494902177,0.205919662,0.479892761,0.024220499,0.01610372,0.199481944,0.014751949,0.50965906,0.288888889,0.174480423,0,0.083906522,0.173217674,0.015003328,0.510417208,0.520604357,0.537416515,0.198659233,0.215254748
0.277413752,0.040723104,0.35097493,0.487737669,0.200634249,0.493297587,0.024528559,0.016274725,0.199958684,0.015248617,0.508727897,0.288888889,0.174902833,0,0.0831391,0.171139424,0.015398154,0.51231406,0.522619542,0.539652485,0.191889022,0.218118782
0.277413752,0.037292663,0.348885794,0.475062001,0.201691332,0.493297587,0.024836619,0.016445729,0.200435427,0.015745287,0.507796733,0.288888889,0.175325244,0,0.082371679,0.169061173,0.015792977,0.514210912,0.524634727,0.541888455,0.185118811,0.220982816
0.277413752,0.044687016,0.330083565,0.445026178,0.23551797,0.520107239,0.025144678,0.016616732,0.200912167,0.016241955,0.506865566,0.255555556,0.175747653,0,0.081604257,0.166982922,0.016187801,0.516107765,0.526649912,0.544124425,0.178348599,0.22384685
0.277413752,0.040659154,0.312674095,0.43097272,0.252219873,0.528150134,0.025144678,0.016787736,0.20138891,0.016738626,0.505934403,0.255555556,0.176170064,0,0.081604257,0.166982922,0.016582627,0.518004617,0.528665097,0.546360395,0.171578388,0.226710883
0.277413752,0.041555791,0.325905292,0.426012676,0.255391121,0.528150134,0.024762143,0.016787736,0.201865649,0.016738626,0.505934403,0.255555556,0.176170064,0,0.081443293,0.169151532,0.016977451,0.519901469,0.530680282,0.548596366,0.164808177,0.229574917
0.277413752,0.039526332,0.337743733,0.424359328,0.241014799,0.528150134,0.024379607,0.017412159,0.202342389,0.016948621,0.506502959,0.255555556,0.176376686,0,0.081282329,0.171320141,0.017372275,0.521798321,0.532695466,0.550832336,0.158037966,0.232438951
0.277413752,0.038091491,0.336350975,0.414990355,0.242494715,0.536193029,0.023997071,0.018036581,0.202819132,0.017158616,0.507071516,0.255555556,0.176583309,0,0.081121365,0.17348875,0.0177671,0.523695174,0.534710651,0.553068306,0.151267755,0.235302985
